               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091153,             0.11651,            0.061053,           0.0004463,            0.069553,          0.00037674,          0.00011461,            0.069439,            0.094119,            0.059791,            0.070429,           0.0032857,           0.0032857
                   1,             0.08031,             0.12923,            0.058496,          0.00049074,            0.076479,           0.0006015,          0.00015845,            0.067044,            0.096268,            0.058547,            0.039773,           0.0059638,           0.0059638
                   2,            0.077554,             0.10619,            0.053067,             0.37765,            0.096923,            0.026426,           0.0067728,            0.083179,             0.17433,            0.056625,            0.008458,           0.0079818,           0.0079818
                   3,            0.071876,            0.092496,            0.042865,             0.49199,             0.14766,            0.058136,            0.016611,            0.077213,             0.13354,             0.04525,             0.00703,             0.00703,             0.00703
                   4,            0.066327,            0.086412,             0.03479,              0.6807,             0.47485,             0.44326,             0.17597,            0.053157,             0.05523,            0.029861,             0.00703,             0.00703,             0.00703
                   5,            0.060087,            0.079513,            0.028792,             0.76003,             0.54463,             0.60259,             0.30791,            0.044306,            0.044468,            0.020024,             0.00604,             0.00604,             0.00604
                   6,            0.056179,             0.07821,            0.023549,             0.70002,              0.7726,             0.74107,             0.39203,            0.038224,            0.044505,            0.015329,             0.00505,             0.00505,             0.00505
                   7,             0.05251,            0.072498,            0.019729,             0.76958,             0.80765,             0.74517,             0.33306,            0.041073,            0.041664,            0.011607,             0.00406,             0.00406,             0.00406
                   8,            0.049621,            0.073573,            0.017452,              0.8493,             0.86134,             0.78758,             0.43146,            0.034273,            0.039665,            0.010113,             0.00307,             0.00307,             0.00307
                   9,            0.047113,            0.072375,            0.015811,             0.85715,             0.86194,             0.78964,             0.44256,            0.033907,            0.040714,           0.0095154,             0.00208,             0.00208,             0.00208
